,District,SaleName,SaleID,BidOpeningDate,Link,PostInput
10,Klamath-Lake,Sparta GNA,Sale #20-971,Bid Opening: 6/16/2020,https://apps.odf.oregon.gov/Divisions/management/asset_management/ResultsDetail.asp?SaleName=Sparta%20GNA,"{""District"":""KLAMATH-LAKE"",""SaleNum"":""20-971"",""SaleName"":""Sparta"",""BidDate"":""6/16/2020"",""County"":""KLAMATH"",""SaleType"":""Clear"",""CostType"":""Recovery"",""Status"":""SO"",""PrelimResults"":""0""}"
11,Klamath-Lake,Seaside,Sale #KL-341-2020-W00774-01,Bid Opening: 6/15/2020,https://apps.odf.oregon.gov/Divisions/management/asset_management/ResultsDetail.asp?SaleName=Seaside,"{""District"":""KLAMATH-LAKE"",""SaleNum"":""KL-341-2020-W00774-01"",""SaleName"":""Seaside"",""BidDate"":""6/15/2020"",""County"":""KLAMATH"",""SaleType"":""Thinning"",""CostType"":""Recovery"",""Status"":""SO"",""PrelimResults"":""0""}"
12,Klamath-Lake,Hippo GNA,Sale #20-831,Bid Opening: 6/15/2020,https://apps.odf.oregon.gov/Divisions/management/asset_management/ResultsDetail.asp?SaleName=Hippo%20GNA,"{""District"":""KLAMATH-LAKE"",""SaleNum"":""20-831"",""SaleName"":""Hippo"",""BidDate"":""6/15/2020"",""County"":""KLAMATH"",""SaleType"":""Clear"",""CostType"":""Recovery"",""Status"":""SO"",""PrelimResults"":""0""}"
13,Klamath-Lake,Sick Kid GNA,Sale #20-827,Bid Opening: 4/13/2020,https://apps.odf.oregon.gov/Divisions/management/asset_management/ResultsDetail.asp?SaleName=Sick%20Kid%20GNA,"{""District"":""KLAMATH-LAKE"",""SaleNum"":""20-827"",""SaleName"":""Sick"",""BidDate"":""4/13/2020"",""County"":""KLAMATH"",""SaleType"":""Clear"",""CostType"":""Recovery"",""Status"":""SO"",""PrelimResults"":""0""}"
14,Klamath-Lake,Ruffer,Sale #20-501,Bid Opening: 4/13/2020,https://apps.odf.oregon.gov/Divisions/management/asset_management/ResultsDetail.asp?SaleName=Ruffer,"{""District"":""KLAMATH-LAKE"",""SaleNum"":""20-501"",""SaleName"":""Ruffer"",""BidDate"":""4/13/2020"",""County"":""KLAMATH"",""SaleType"":""Clear"",""CostType"":""Recovery"",""Status"":""NB"",""PrelimResults"":""0""}"
15,Klamath-Lake,Rhymno GNA,Sale #20-811,Bid Opening: 4/13/2020,https://apps.odf.oregon.gov/Divisions/management/asset_management/ResultsDetail.asp?SaleName=Rhymno%20GNA,"{""District"":""KLAMATH-LAKE"",""SaleNum"":""20-811"",""SaleName"":""Rhymno"",""BidDate"":""4/13/2020"",""County"":""KLAMATH"",""SaleType"":""Clear"",""CostType"":""Recovery"",""Status"":""SO"",""PrelimResults"":""0""}"
16,Klamath-Lake,Cobb Huckleberry GNA,Sale #20-871,Bid Opening: 4/13/2020,https://apps.odf.oregon.gov/Divisions/management/asset_management/ResultsDetail.asp?SaleName=Cobb%20Huckleberry%20GNA,"{""District"":""KLAMATH-LAKE"",""SaleNum"":""20-871"",""SaleName"":""Cobb"",""BidDate"":""4/13/2020"",""County"":""KLAMATH"",""SaleType"":""Clear"",""CostType"":""Recovery"",""Status"":""T"",""PrelimResults"":""0""}"
17,Klamath-Lake,Up and Up,Sale #20-324,Bid Opening: 2/17/2020,https://apps.odf.oregon.gov/Divisions/management/asset_management/ResultsDetail.asp?SaleName=Up%20and%20Up,"{""District"":""KLAMATH-LAKE"",""SaleNum"":""20-324"",""SaleName"":""Up"",""BidDate"":""2/17/2020"",""County"":""KLAMATH"",""SaleType"":""Clear"",""CostType"":""Recovery"",""Status"":""NB"",""PrelimResults"":""0""}"
18,Klamath-Lake,Shipwreck,Sale #20-321,Bid Opening: 2/17/2020,https://apps.odf.oregon.gov/Divisions/management/asset_management/ResultsDetail.asp?SaleName=Shipwreck,"{""District"":""KLAMATH-LAKE"",""SaleNum"":""20-321"",""SaleName"":""Shipwreck"",""BidDate"":""2/17/2020"",""County"":""KLAMATH"",""SaleType"":""Clear"",""CostType"":""Recovery"",""Status"":""SO"",""PrelimResults"":""0""}"
19,Klamath-Lake,Off the Edge,Sale #20-323,Bid Opening: 2/17/2020,https://apps.odf.oregon.gov/Divisions/management/asset_management/ResultsDetail.asp?SaleName=Off%20the%20Edge,"{""District"":""KLAMATH-LAKE"",""SaleNum"":""20-323"",""SaleName"":""Off"",""BidDate"":""2/17/2020"",""County"":""KLAMATH"",""SaleType"":""Clear"",""CostType"":""Recovery"",""Status"":""NB"",""PrelimResults"":""0""}"
20,Klamath-Lake,Flat GNA,Sale #20-821,Bid Opening: 9/17/2019,https://apps.odf.oregon.gov/Divisions/management/asset_management/ResultsDetail.asp?SaleName=Flat%20GNA,"{""District"":""KLAMATH-LAKE"",""SaleNum"":""20-821"",""SaleName"":""Flat"",""BidDate"":""9/17/2019"",""County"":""KLAMATH"",""SaleType"":""Clear"",""CostType"":""Recovery"",""Status"":""SO"",""PrelimResults"":""0""}"
21,Klamath-Lake,Borderline,Sale #20-769,Bid Opening: 9/16/2019,https://apps.odf.oregon.gov/Divisions/management/asset_management/ResultsDetail.asp?SaleName=Borderline,"{""District"":""KLAMATH-LAKE"",""SaleNum"":""20-769"",""SaleName"":""Borderline"",""BidDate"":""9/16/2019"",""County"":""KLAMATH"",""SaleType"":""Thinning"",""CostType"":""Recovery"",""Status"":""SO"",""PrelimResults"":""0""}"
22,Klamath-Lake,Fir Lo GNA,Sale #19-801,Bid Opening: 6/17/2019,https://apps.odf.oregon.gov/Divisions/management/asset_management/ResultsDetail.asp?SaleName=Fir%20Lo%20GNA,"{""District"":""KLAMATH-LAKE"",""SaleNum"":""19-801"",""SaleName"":""Fir"",""BidDate"":""6/17/2019"",""County"":""KLAMATH"",""SaleType"":""Clear"",""CostType"":""Recovery"",""Status"":""SO"",""PrelimResults"":""0""}"
23,Klamath-Lake,Manzanita Women,Sale #19-513,Bid Opening: 5/20/2019,https://apps.odf.oregon.gov/Divisions/management/asset_management/ResultsDetail.asp?SaleName=Manzanita%20Women,"{""District"":""KLAMATH-LAKE"",""SaleNum"":""19-513"",""SaleName"":""Manzanita"",""BidDate"":""5/20/2019"",""County"":""KLAMATH"",""SaleType"":""Clear"",""CostType"":""Recovery"",""Status"":""SO"",""PrelimResults"":""0""}"
24,Klamath-Lake,Ramble,Sale #19-770,Bid Opening: 2/11/2019,https://apps.odf.oregon.gov/Divisions/management/asset_management/ResultsDetail.asp?SaleName=Ramble,"{""District"":""KLAMATH-LAKE"",""SaleNum"":""19-770"",""SaleName"":""Ramble"",""BidDate"":""2/11/2019"",""County"":""KLAMATH"",""SaleType"":""Clear"",""CostType"":""Recovery"",""Status"":""SO"",""PrelimResults"":""0""}"
25,Klamath-Lake,Pitted,Sale #19-772,Bid Opening: 2/11/2019,https://apps.odf.oregon.gov/Divisions/management/asset_management/ResultsDetail.asp?SaleName=Pitted,"{""District"":""KLAMATH-LAKE"",""SaleNum"":""19-772"",""SaleName"":""Pitted"",""BidDate"":""2/11/2019"",""County"":""KLAMATH"",""SaleType"":""Thinning"",""CostType"":""Recovery"",""Status"":""NB"",""PrelimResults"":""0""}"
26,Klamath-Lake,Beast of Burden,Sale #19-773,Bid Opening: 2/11/2019,https://apps.odf.oregon.gov/Divisions/management/asset_management/ResultsDetail.asp?SaleName=Beast%20of%20Burden,"{""District"":""KLAMATH-LAKE"",""SaleNum"":""19-773"",""SaleName"":""Beast"",""BidDate"":""2/11/2019"",""County"":""KLAMATH"",""SaleType"":""Thinning"",""CostType"":""Recovery"",""Status"":""SO"",""PrelimResults"":""0""}"
27,Klamath-Lake,Final Straw,Sale #19-511,Bid Opening: 11/13/2018,https://apps.odf.oregon.gov/Divisions/management/asset_management/ResultsDetail.asp?SaleName=Final%20Straw,"{""District"":""KLAMATH-LAKE"",""SaleNum"":""19-511"",""SaleName"":""Final"",""BidDate"":""11/13/2018"",""County"":""KLAMATH"",""SaleType"":""Thinning"",""CostType"":""Recovery"",""Status"":""T"",""PrelimResults"":""0""}"
28,Klamath-Lake,Hoagie,Sale #19-21,Bid Opening: 7/16/2018,https://apps.odf.oregon.gov/Divisions/management/asset_management/ResultsDetail.asp?SaleName=Hoagie,"{""District"":""KLAMATH-LAKE"",""SaleNum"":""19-21"",""SaleName"":""Hoagie"",""BidDate"":""7/16/2018"",""County"":""KLAMATH"",""SaleType"":""Thinning"",""CostType"":""Recovery"",""Status"":""SO"",""PrelimResults"":""0""}"
29,Klamath-Lake,Paddock Butte,Sale #18-138,Bid Opening: 5/14/2018,https://apps.odf.oregon.gov/Divisions/management/asset_management/ResultsDetail.asp?SaleName=Paddock%20Butte,"{""District"":""KLAMATH-LAKE"",""SaleNum"":""18-138"",""SaleName"":""Paddock"",""BidDate"":""5/14/2018"",""County"":""Klamath"",""SaleType"":""Thinning"",""CostType"":""Recovery"",""Status"":""SO"",""PrelimResults"":""0""}"
30,Klamath-Lake,Powder,Sale #18-99,Bid Opening: 2/13/2018,https://apps.odf.oregon.gov/Divisions/management/asset_management/ResultsDetail.asp?SaleName=Powder,"{""District"":""KLAMATH-LAKE"",""SaleNum"":""18-99"",""SaleName"":""Powder"",""BidDate"":""2/13/2018"",""County"":""KLAMATH"",""SaleType"":""Thinning"",""CostType"":""Recovery"",""Status"":""T"",""PrelimResults"":""0""}"
31,Klamath-Lake,Horizon,Sale #18-98,Bid Opening: 2/13/2018,https://apps.odf.oregon.gov/Divisions/management/asset_management/ResultsDetail.asp?SaleName=Horizon,"{""District"":""KLAMATH-LAKE"",""SaleNum"":""18-98"",""SaleName"":""Horizon"",""BidDate"":""2/13/2018"",""County"":""KLAMATH"",""SaleType"":""Thinning"",""CostType"":""Recovery"",""Status"":""NB"",""PrelimResults"":""0""}"
32,Klamath-Lake,Dirty Paws,Sale #18-97,Bid Opening: 2/13/2018,https://apps.odf.oregon.gov/Divisions/management/asset_management/ResultsDetail.asp?SaleName=Dirty%20Paws,"{""District"":""KLAMATH-LAKE"",""SaleNum"":""18-97"",""SaleName"":""Dirty"",""BidDate"":""2/13/2018"",""County"":""KLAMATH"",""SaleType"":""Thinning"",""CostType"":""Recovery"",""Status"":""SO"",""PrelimResults"":""0""}"
33,Klamath-Lake,Broken Spoke,Sale #18-96,Bid Opening: 2/13/2018,https://apps.odf.oregon.gov/Divisions/management/asset_management/ResultsDetail.asp?SaleName=Broken%20Spoke,"{""District"":""KLAMATH-LAKE"",""SaleNum"":""18-96"",""SaleName"":""Broken"",""BidDate"":""2/13/2018"",""County"":""KLAMATH"",""SaleType"":""Thinning"",""CostType"":""Recovery"",""Status"":""SO"",""PrelimResults"":""0""}"
